id;parameter_id;value;alias;parent_id;archive
13394;2;12 частей;12-chastey;1;0
1223;2;6 отрубов;6-otrubov;1;0
1228;2;антрекот;antrekot;1;0
1231;2;балык;balik;1;0
1232;2;бедро;bedro;1;0
1235;2;бефстроганов;befstroganov;1;0
1236;2;бифштекс;bifshteks;1;0
;2;блочная;;1;0
1237;2;вымя;vimya;1;0
1240;2;вырезка;virezka;1;0
1256;2;глазной мускул;glaznoy-muskul;1;0
1259;2;головы;golovi;1;0
1260;2;голяшка;golyashka;1;0
1267;2;грудинка;grudinka;1;0
34466;2;грудной отруб;grudnoy-otrub;1;0
1270;2;губы;gubi;1;0
1271;2;гуляш;gulyash;1;0
1275;2;диафрагма;diafragma;1;0
1278;2;жилка;gilka;1;0
1279;2;жир;gir;1;0
1282;2;задние части;zadnie-chasti;1;0
1292;2;калтык;kaltik;1;0
1222;2;карбонад;karbonad;1;0
;2;каре;;1;0
1293;2;кишка;kishka;1;0
1294;2;копыта;kopita;1;0
1218;2;корейка;koreyka;1;0
1296;2;кости;kosti;1;0
1295;2;кострец;kostrets;1;0
34467;2;кость;kost;1;0
1217;2;курдюк;kurdyuk;1;0
1297;2;легкое;legkoe;1;0
1298;2;лопатка;lopatka;1;0
1303;2;лопаточная часть;lopatochnaya-chast;1;0
1301;2;лопаточно-плечевая часть;lopatochno-plechevaya-chast;1;0
1302;2;лопаточно-шейная часть;lopatochno-sheynaya-chast;1;0
34468;2;лопаточный отруб;lopatochniy-otrub;1;0
1304;2;лытка;litka;1;0
1305;2;медальон;medalon;1;0
1306;2;мозги;mozgi;1;0
1307;2;мышца;mishtsa;1;0
1308;2;мякоть;myakot;1;0
1309;2;мясо;myaso;1;0
1318;2;набор для бульона;nabor-dlya-bulona;1;0
22368;2;набор для гуляша;nabor-dlya-gulyasha;1;0
22369;2;набор для плова;nabor-dlya-plova;1;0
22371;2;набор для студня;nabor-dlya-studnya;1;0
22370;2;набор для супа;nabor-dlya-supa;1;0
1323;2;ноги;nogi;1;0
1326;2;обрезь;obrez;1;0
1330;2;оковалок;okovalok;1;0
1331;2;окорок;okorok;1;0
1333;2;отруб реберный;otrub-reberniy;1;0
1334;2;пашина;pashina;1;0
1354;2;пенис;penis;1;0
1355;2;передние части;perednie-chasti;1;0
1364;2;передние четверти;perednie-chetverti;1;0
1365;2;печень;pechen;1;0
1366;2;подбедерок;podbederok;1;0
1368;2;поджарка;podgarka;1;0
1367;2;подлопаточная часть;podlopatochnaya-chast;1;0
1369;2;полутуши;polutushi;1;0
1373;2;почки;pochki;1;0
1374;2;поясничная часть;poyasnichnaya-chast;1;0
1375;2;рагу;ragu;1;0
1376;2;ребро;rebro;1;0
1377;2;рубец;rubets;1;0
1378;2;рулька;rulka;1;0
34469;2;седло;sedlo;1;0
1379;2;селезенка;selezenka;1;0
1380;2;семенники;semenniki;1;0
1381;2;сердце;serdtse;1;0
1382;2;соединительная ткань;soedinitelnaya-tkan;1;0
1384;2;спинно-поясничный отруб;spinno-poyasnichniy-otrub;1;0
1383;2;спинной отруб;spinnoy-otrub;1;0
23285;2;субпродукты;subprodukti;1;0
1385;2;сухожилия;suhogiliya;1;0
1386;2;сычуг;sichug;1;0
1387;2;тазобедренный отруб;tazobedrenniy-otrub;1;0
1394;2;толстый край;tolstiy-kray;1;0
1397;2;тонкий край;tonkiy-kray;1;0
1400;2;трахея;traheya;1;0
1401;2;тримминг;trimming;1;0
1421;2;туши;tushi;1;0
1425;2;уши;ushi;1;0
1440;2;фарш;farsh;1;0
1443;2;филей;filey;1;0
1447;2;хвосты;hvosti;1;0
1446;2;хрящи;hryashchi;1;0
1429;2;шейная часть;sheynaya-chast;1;0
1431;2;шейно-лопаточный отруб;sheyno-lopatochniy-otrub;1;0
1332;2;шейный отруб;sheyniy-otrub-;1;0
1426;2;шея;sheya;1;0
1430;2;шкура;shkura;1;0
1434;2;щека;shcheka;1;0
1437;2;язык;yazik;1;0
