id;parameter_id;value;alias;parent_id;archive
347;2;азу;azu;2;0
351;2;антрекот;antrekot;2;0
34470;2;аорта;aorta;2;0
354;2;балык;balik;2;0
355;2;бедро;bedro;2;0
23119;2;бескостная;beskostnaya;2;0
358;2;бефстроганов;befstroganov;2;0
359;2;бифштекс;bifshteks;2;0
23121;2;блочная;blochnaya;2;0
360;2;вымя;vimya;2;0
363;2;вырезка;virezka;2;0
379;2;глазной мускул;glaznoy-muskul;2;0
382;2;головы;golovi;2;0
383;2;голяшка;golyashka;2;0
390;2;грудинка;grudinka;2;0
34472;2;грудной отруб;grudnoy-otrub;2;0
393;2;губы;gubi;2;0
394;2;гуляш;gulyash;2;0
398;2;диафрагма;diafragma;2;0
13428;2;длиннейшая мышца;dlinneyshaya-mishtsa;2;0
13432;2;железа;geleza;2;0
13436;2;желудки;geludki;2;0
401;2;жилка;gilka;2;0
34473;2;жир;gir;2;0
402;2;жир (сырец);gir-sirets;2;0
405;2;задние части;zadnie-chasti;2;0
13531;2;илей;iley;2;0
415;2;калтык;kaltik;2;0
34474;2;карбонад;karbonad;2;0
;2;каркас;;2;0
416;2;кишка;kishka;2;0
13437;2;книжка;knigka;2;0
417;2;копыта;kopita;2;0
418;2;кострец;kostrets;2;0
419;2;кость;kost;2;0
420;2;легкое;legkoe;2;0
421;2;лопатка;lopatka;2;0
426;2;лопаточная часть;lopatochniy-otrub;2;0
424;2;лопаточно-плечевая часть;lopatochno-plechevaya-chast;2;0
427;2;лытка;litka;2;0
428;2;медальон;medalon;2;0
429;2;мозги;mozgi;2;0
13445;2;мука мясокостная;muka-myasokostnaya;2;0
430;2;мышца;mishtsa;2;0
431;2;мякоть;myakot;2;0
432;2;мясо;myaso;2;0
441;2;набор для гуляша;nabor-dlya-gulyasha;2;0
22359;2;набор для супа;nabor-dlya-supa;2;0
22360;2;набор для тушения;nabor-dlya-tusheniya;2;0
22361;2;набор для холодца;nabor-dlya-holodtsa;2;0
446;2;ноги;nogi;2;0
34479;2;нос;nos;2;0
449;2;обрезь;obrez;2;0
34480;2;обрезь головная;obrez-golovnaya;2;0
452;2;огузок;oguzok;2;0
23120;2;односортная;odnosortnaya;2;0
453;2;оковалок;okovalok;2;0
454;2;окорок;okorok;2;0
456;2;отруб реберный;otrub-reberniy;2;0
455;2;отруб шейный;otrub-sheyniy;2;0
457;2;пашина;pashina;2;0
477;2;пенис;penis;2;0
478;2;передние части;perednie-chasti;2;0
487;2;передние четверти;perednie-chetverti;2;0
488;2;печень;pechen;2;0
489;2;подбедерок;podbederok;2;0
491;2;поджарка;podgarka;2;0
490;2;подлопаточная часть;podlopatochnaya-chast;2;0
492;2;полутуши;polutushi;2;0
508;2;почки;pochki;2;0
509;2;путовый сустав;putoviy-sustav;2;0
510;2;рагу;ragu;2;0
511;2;ребро;rebro;2;0
512;2;рубец;rubets;2;0
513;2;рулька;rulka;2;0
514;2;селезенка;selezenka;2;0
515;2;семенники;semenniki;2;0
516;2;сердце;serdtse;2;0
517;2;соединительная ткань;soedinitelnaya-tkan;2;0
13468;2;спинно-поясничный отруб;spinno-poyasnichniy-otrub;2;0
34481;2;стейк;steyk;2;0
23283;2;субпродукты;subprodukti;2;0
519;2;суставы;sustavi;2;0
520;2;сухожилия;suhogiliya;2;0
521;2;сычуг;sichug;2;0
522;2;тазобедренный отруб;tazobedrenniy-otrub;2;0
532;2;тонкий край;tonkiy-kray;2;0
535;2;трахея;traheya;2;0
536;2;тримминг;trimming;2;0
556;2;туши;tushi;2;0
572;2;уши;ushi;2;0
589;2;фарш;farsh;2;0
34482;2;филе;file;2;0
592;2;филей;filey;2;0
596;2;хвосты;hvosti;2;0
595;2;хрящи;hryashchi;2;0
34483;2;черева;chereva;2;0
13533;2;четверти;chetverti;2;0
576;2;шейная часть;sheynaya-chast;2;0
34485;2;шейно-лопаточный отруб;sheyno-lopatochniy-otrub;2;0
34486;2;шейный отруб;sheyniy-otrub;2;0
573;2;шея;sheya;2;0
577;2;шкура;shkura;2;0
580;2;шпик;shpik;2;0
34487;2;шпик боковой;shpik-bokovoy;2;0
;2;шпик хребтовой;;2;0
583;2;щека;shcheka;2;0
586;2;язык;yazik;2;0
