id;parameter_id;value;alias;parent_id;archive
34505;2;азу;azu;19;0
3548;2;ассорти;assorti;19;0
3445;2;бедро;bedro;19;0
3452;2;голень;golen;19;0
3453;2;головы;golovi;19;0
13620;2;гребешки;grebeshki;19;0
3456;2;грудка;grudka;19;0
3549;2;гузки;guzki;19;0
3463;2;желудки;geludki;19;0
3550;2;жир;gir;19;0
3551;2;жир (сырец);gir-sirets;19;0
13624;2;каркас;karkas;19;0
13625;2;киль;kil;19;0
34628;2;кишечник;kishechnik;19;0
3464;2;кожа;koga;19;0
3465;2;костный остаток;kostniy-ostatok;19;0
13628;2;кость;kost;19;0
3466;2;крыло;krilo;19;0
3472;2;лапы;lapi;19;0
3547;2;микс;miks;19;0
34506;2;мякоть;myakot;19;0
34507;2;мясо;myaso;19;0
;2;мясо механической обвалки;;19;0
22365;2;набор для бульона;nabor-dlya-bulona;19;0
;2;набор для плова;;19;0
;2;набор для студня;;19;0
3475;2;набор для супа;nabor-dlya-supa;19;0
22366;2;набор для тушения;nabor-dlya-tusheniya;19;0
;2;набор для холодца;;19;0
22367;2;набор для чахохбили;nabor-dlya-chahohbili;19;0
34508;2;обрезь;obrez;19;0
3480;2;окорочка;okorochka;19;0
3487;2;печень;pechen;19;0
3532;2;полутушка;polutushka;19;0
3552;2;рагу;ragu;19;0
34509;2;седло;sedlo;19;0
3488;2;сердце;serdtse;19;0
13635;2;спинка;spinka;19;0
23288;2;субпродукты;subprodukti;19;0
3553;2;тримминг;trimming;19;0
3489;2;тушка;tushka;19;0
13637;2;тушка домашняя;tushka-domashnyaya;19;0
3496;2;тушка-корнишон;tushka-kornishon;19;0
34510;2;тушка-несушка;tushka-nesushka;19;0
3497;2;тушка-суповая;tushka-supovaya;19;0
3500;2;фарш;farsh;19;0
3510;2;филе бедра;file-bedra;19;0
3503;2;филе грудки;file;19;0
3524;2;филе окорочка;file-okorochka;19;0
3554;2;четвертина;chetvertina;19;0
3525;2;шаурма;shaurma;19;0
3531;2;шашлык;shashlik;19;0
3528;2;шея;sheya;19;0
34511;2;шкура;shkura;19;0
34512;2;крыло кисть;krilo-kist;19;0
