id;parameter_id;value;alias;parent_id;archive
28;2;аорта;aorta;12;0
29;2;баки;baki;12;0
;2;блочная;;12;0
30;2;вырезка;virezka;12;0
31;2;головы;golovi;12;0
44;2;голяшка;golyashka;12;0
47;2;грудинка;grudinka;12;0
55;2;гуляш;gulyash;12;0
56;2;диафрагма;diafragma;12;0
60;2;желудки;geludki;12;0
66;2;жилка;gilka;12;0
63;2;жир;gir;12;0
34516;2;жир (сырец);gir-sirets;12;0
13521;2;жир-сырец;gir-sirets;12;0
67;2;задняя четвертина;zadnie-chasti;12;0
70;2;калтык;kaltik;12;0
71;2;карбонад;karbonad;12;0
34517;2;кишка;kishka;12;0
23122;2;кишки;kishki;12;0
325;2;кожа;shkura;12;0
87;2;копыта;kopita;12;0
72;2;корейка;koreyka;12;0
79;2;кости;kosti;12;0
84;2;котлетные части (котлета);kotletnie-chasti-kotleta;12;0
339;2;кровь;krov;12;0
88;2;легкое;legkoe;12;0
89;2;лопатка;lopatka;12;0
130;2;лопаточно-шейная часть;lopatochno-sheynaya-chast;12;0
34520;2;лопаточно-шейный отруб;lopatochno-sheyniy-otrub;12;0
131;2;маска;maska;12;0
132;2;межсосковая часть;megsoskovaya-chast;12;0
135;2;мозги;mozgi;12;0
23905;2;мукоза;mukoza;12;0
136;2;мышца;mishtsa;12;0
139;2;мясо;myaso;12;0
23907;2;мясокостная мука;myasokostnaya-muka;12;0
159;2;набор для бульона;nabor-dlya-bulona;12;0
22356;2;набор для студня;nabor-dlya-studnya;12;0
22357;2;набор для супа;nabor-dlya-supa;12;0
22358;2;набор для тушения;nabor-dlya-tusheniya;12;0
;2;набор для холодца;;12;0
164;2;ноги;nogi;12;0
341;2;обрезь;obrez;12;0
344;2;окорок;okorok;12;0
338;2;онглет;onglet;12;0
175;2;пашина;pashina;12;0
176;2;передняя четвертина;perednie-chasti;12;0
179;2;печень;pechen;12;0
180;2;пикник;piknik;12;0
;2;подбедерок;;12;0
183;2;поджарка;podgarka;12;0
186;2;подчеревок;podcherevok;12;0
187;2;полутуши;polutushi;12;0
212;2;почки;pochki;12;0
213;2;пятаки;pyataki;12;0
214;2;рагу;ragu;12;0
215;2;ребро;rebro;12;0
242;2;рубец;rubets;12;0
235;2;рулька;rulka;12;0
34581;2;сало;salo;12;0
245;2;селезенка;selezenka;12;0
246;2;сердце;serdtse;12;0
;2;спинно-поясничный отруб;;12;0
23284;2;субпродукты;subprodukti;12;0
34522;2;суставы;sustavi;12;0
248;2;трахея;traheya;12;0
249;2;тримминг;trimming;12;0
310;2;туши;tushi;12;0
316;2;уши;ushi;12;0
318;2;фарш;farsh;12;0
34523;2;филе;file;12;0
340;2;филей;filey;12;0
321;2;хвосты;hvosti;12;0
34524;2;хребты;hrebti;12;0
13585;2;хрящи;hryashchi;12;0
317;2;черева;chereva;12;0
13586;2;шейный отруб;sheyniy-otrub;12;0
322;2;шея;sheya;12;0
328;2;шпик;shpik;12;0
34527;2;шпик боковой;shpik-bokovoy;12;0
34528;2;шпик хребтовой;shpik-hrebtovoy;12;0
333;2;щека;shcheka;12;0
335;2;язык;yazik;12;0
