,ID,ds,y
0,Говядина|вырезка|Москва,2023-05-29,1201.81
1,Говядина|вырезка|ПФО,2023-05-29,1049.78
2,Говядина|вырезка|СЗФО,2023-05-29,1080.0
3,Говядина|вырезка|СФО,2023-05-29,912.12
4,Говядина|вырезка|Санкт-Петербург,2023-05-29,1148.04
5,Говядина|вырезка|УФО,2023-05-29,945.83
6,Говядина|вырезка|ЦФО,2023-05-29,1029.23
7,Говядина|вырезка|ЮФО,2023-05-29,1200.0
8,Говядина|грудинка|Москва,2023-05-29,490.83
9,Говядина|грудинка|ПФО,2023-05-29,417.5
10,Говядина|грудинка|СЗФО,2023-05-29,660.0
11,Говядина|грудинка|СФО,2023-05-29,367.5
12,Говядина|грудинка|Санкт-Петербург,2023-05-29,430.0
13,Говядина|грудинка|УФО,2023-05-29,425.0
14,Говядина|грудинка|ЦФО,2023-05-29,406.0
15,Говядина|грудинка|ЮФО,2023-05-29,385.0
16,Говядина|лопатка|Москва,2023-05-29,452.39
17,Говядина|лопатка|ПФО,2023-05-29,537.5
18,Говядина|лопатка|СЗФО,2023-05-29,425.0
19,Говядина|лопатка|СФО,2023-05-29,520.71
20,Говядина|лопатка|Санкт-Петербург,2023-05-29,435.5
21,Говядина|лопатка|УФО,2023-05-29,473.91
22,Говядина|лопатка|ЦФО,2023-05-29,430.62
23,Говядина|лопатка|ЮФО,2023-05-29,395.0
24,Говядина|полутуши|Москва,2023-05-29,359.31
25,Говядина|полутуши|ПФО,2023-05-29,353.68
26,Говядина|полутуши|СЗФО,2023-05-29,282.5
27,Говядина|полутуши|СФО,2023-05-29,324.58
28,Говядина|полутуши|Санкт-Петербург,2023-05-29,418.33
29,Говядина|полутуши|УФО,2023-05-29,312.81
30,Говядина|полутуши|ЦФО,2023-05-29,326.39
31,Говядина|полутуши|ЮФО,2023-05-29,322.5
32,Кура|бедро|Москва,2023-05-29,184.27
33,Кура|бедро|ПФО,2023-05-29,174.63
34,Кура|бедро|СЗФО,2023-05-29,137.0
35,Кура|бедро|СФО,2023-05-29,176.44
36,Кура|бедро|Санкт-Петербург,2023-05-29,223.48
37,Кура|бедро|УФО,2023-05-29,166.67
38,Кура|бедро|ЦФО,2023-05-29,142.16
39,Кура|бедро|ЮФО,2023-05-29,146.2
40,Кура|голень|Москва,2023-05-29,189.38
