,date,price,model,product,product_type,federal_okrug
3600,2024-07-01,1470.48,Exponential smoothing,Говядина,вырезка,ВСЕ
3601,2024-07-08,1467.67,Exponential smoothing,Говядина,вырезка,ВСЕ
3602,2024-07-15,1460.44,Exponential smoothing,Говядина,вырезка,ВСЕ
3603,2024-07-22,1457.42,Exponential smoothing,Говядина,вырезка,ВСЕ
3604,2024-07-29,1448.45,Exponential smoothing,Говядина,вырезка,ВСЕ
3605,2024-08-05,1440.79,Exponential smoothing,Говядина,вырезка,ВСЕ
3606,2024-08-12,1438.32,Exponential smoothing,Говядина,вырезка,ВСЕ
3607,2024-08-19,1442.47,Exponential smoothing,Говядина,вырезка,ВСЕ
3608,2024-08-26,1438.15,Exponential smoothing,Говядина,вырезка,ВСЕ
3609,2024-09-02,1438.0,Exponential smoothing,Говядина,вырезка,ВСЕ
3610,2024-09-09,1441.25,Exponential smoothing,Говядина,вырезка,ВСЕ
3611,2024-09-16,1442.19,Exponential smoothing,Говядина,вырезка,ВСЕ
3612,2024-09-23,1438.66,Exponential smoothing,Говядина,вырезка,ВСЕ
3613,2024-09-30,1442.82,Exponential smoothing,Говядина,вырезка,ВСЕ
3614,2024-10-07,1443.77,Exponential smoothing,Говядина,вырезка,ВСЕ
3615,2024-10-14,1463.49,Exponential smoothing,Говядина,вырезка,ВСЕ
3616,2024-10-21,1476.29,Exponential smoothing,Говядина,вырезка,ВСЕ
3617,2024-10-28,1486.17,Exponential smoothing,Говядина,вырезка,ВСЕ
3618,2024-11-04,1490.37,Exponential smoothing,Говядина,вырезка,ВСЕ
3619,2024-11-11,1499.1,Exponential smoothing,Говядина,вырезка,ВСЕ
3620,2024-11-18,1504.38,Exponential smoothing,Говядина,вырезка,ВСЕ
3621,2024-11-25,1506.69,Exponential smoothing,Говядина,вырезка,ВСЕ
3622,2024-12-02,1508.31,Exponential smoothing,Говядина,вырезка,ВСЕ
3623,2024-12-09,1513.0,Exponential smoothing,Говядина,вырезка,ВСЕ
3624,2024-12-16,1514.53,Exponential smoothing,Говядина,вырезка,ВСЕ
3625,2024-12-23,1512.75,Exponential smoothing,Говядина,вырезка,ВСЕ
3626,2024-12-30,1513.3,Exponential smoothing,Говядина,вырезка,ВСЕ
3627,2025-01-06,1515.58,Exponential smoothing,Говядина,вырезка,ВСЕ
3628,2025-01-13,1511.63,Exponential smoothing,Говядина,вырезка,ВСЕ
3629,2025-01-20,1511.58,Exponential smoothing,Говядина,вырезка,ВСЕ
0,2024-07-01,1601.96,Exponential smoothing,Говядина,вырезка,Москва
1,2024-07-08,1596.94,Exponential smoothing,Говядина,вырезка,Москва
2,2024-07-15,1591.57,Exponential smoothing,Говядина,вырезка,Москва
3,2024-07-22,1580.72,Exponential smoothing,Говядина,вырезка,Москва
4,2024-07-29,1575.84,Exponential smoothing,Говядина,вырезка,Москва
5,2024-08-05,1568.29,Exponential smoothing,Говядина,вырезка,Москва
6,2024-08-12,1574.5,Exponential smoothing,Говядина,вырезка,Москва
7,2024-08-19,1577.28,Exponential smoothing,Говядина,вырезка,Москва
8,2024-08-26,1579.0,Exponential smoothing,Говядина,вырезка,Москва
9,2024-09-02,1578.03,Exponential smoothing,Говядина,вырезка,Москва
10,2024-09-09,1580.43,Exponential smoothing,Говядина,вырезка,Москва
11,2024-09-16,1581.91,Exponential smoothing,Говядина,вырезка,Москва
12,2024-09-23,1581.14,Exponential smoothing,Говядина,вырезка,Москва
13,2024-09-30,1583.08,Exponential smoothing,Говядина,вырезка,Москва
14,2024-10-07,1584.39,Exponential smoothing,Говядина,вырезка,Москва
15,2024-10-14,1605.38,Exponential smoothing,Говядина,вырезка,Москва
16,2024-10-21,1624.27,Exponential smoothing,Говядина,вырезка,Москва
