,date,price,model,product,product_type,federal_okrug
3600,2024-07-01,1557.14,Exponential smoothing,Говядина,вырезка,ВСЕ
3601,2024-07-08,1562.28,Exponential smoothing,Говядина,вырезка,ВСЕ
3602,2024-07-15,1553.89,Exponential smoothing,Говядина,вырезка,ВСЕ
3603,2024-07-22,1557.79,Exponential smoothing,Говядина,вырезка,ВСЕ
3604,2024-07-29,1552.3,Exponential smoothing,Говядина,вырезка,ВСЕ
3605,2024-08-05,1548.95,Exponential smoothing,Говядина,вырезка,ВСЕ
3606,2024-08-12,1542.5,Exponential smoothing,Говядина,вырезка,ВСЕ
3607,2024-08-19,1546.96,Exponential smoothing,Говядина,вырезка,ВСЕ
3608,2024-08-26,1542.33,Exponential smoothing,Говядина,вырезка,ВСЕ
3609,2024-09-02,1546.24,Exponential smoothing,Говядина,вырезка,ВСЕ
3610,2024-09-09,1549.24,Exponential smoothing,Говядина,вырезка,ВСЕ
3611,2024-09-16,1550.11,Exponential smoothing,Говядина,вырезка,ВСЕ
3612,2024-09-23,1549.36,Exponential smoothing,Говядина,вырезка,ВСЕ
3613,2024-09-30,1551.11,Exponential smoothing,Говядина,вырезка,ВСЕ
3614,2024-10-07,1553.25,Exponential smoothing,Говядина,вырезка,ВСЕ
3615,2024-10-14,1563.8,Exponential smoothing,Говядина,вырезка,ВСЕ
3616,2024-10-21,1571.93,Exponential smoothing,Говядина,вырезка,ВСЕ
3617,2024-10-28,1578.54,Exponential smoothing,Говядина,вырезка,ВСЕ
3618,2024-11-04,1577.49,Exponential smoothing,Говядина,вырезка,ВСЕ
3619,2024-11-11,1577.54,Exponential smoothing,Говядина,вырезка,ВСЕ
3620,2024-11-18,1586.85,Exponential smoothing,Говядина,вырезка,ВСЕ
3621,2024-11-25,1585.62,Exponential smoothing,Говядина,вырезка,ВСЕ
3622,2024-12-02,1585.61,Exponential smoothing,Говядина,вырезка,ВСЕ
3623,2024-12-09,1594.3,Exponential smoothing,Говядина,вырезка,ВСЕ
3624,2024-12-16,1602.4,Exponential smoothing,Говядина,вырезка,ВСЕ
3625,2024-12-23,1595.66,Exponential smoothing,Говядина,вырезка,ВСЕ
3626,2024-12-30,1592.49,Exponential smoothing,Говядина,вырезка,ВСЕ
3627,2025-01-06,1592.01,Exponential smoothing,Говядина,вырезка,ВСЕ
3628,2025-01-13,1587.8,Exponential smoothing,Говядина,вырезка,ВСЕ
3629,2025-01-20,1585.98,Exponential smoothing,Говядина,вырезка,ВСЕ
0,2024-07-01,1625.59,Exponential smoothing,Говядина,вырезка,Москва
1,2024-07-08,1626.83,Exponential smoothing,Говядина,вырезка,Москва
2,2024-07-15,1622.3,Exponential smoothing,Говядина,вырезка,Москва
3,2024-07-22,1618.25,Exponential smoothing,Говядина,вырезка,Москва
4,2024-07-29,1614.5,Exponential smoothing,Говядина,вырезка,Москва
5,2024-08-05,1609.14,Exponential smoothing,Говядина,вырезка,Москва
6,2024-08-12,1618.43,Exponential smoothing,Говядина,вырезка,Москва
7,2024-08-19,1618.29,Exponential smoothing,Говядина,вырезка,Москва
8,2024-08-26,1616.98,Exponential smoothing,Говядина,вырезка,Москва
9,2024-09-02,1616.92,Exponential smoothing,Говядина,вырезка,Москва
10,2024-09-09,1614.38,Exponential smoothing,Говядина,вырезка,Москва
11,2024-09-16,1615.58,Exponential smoothing,Говядина,вырезка,Москва
12,2024-09-23,1614.56,Exponential smoothing,Говядина,вырезка,Москва
13,2024-09-30,1613.73,Exponential smoothing,Говядина,вырезка,Москва
14,2024-10-07,1613.54,Exponential smoothing,Говядина,вырезка,Москва
15,2024-10-14,1618.99,Exponential smoothing,Говядина,вырезка,Москва
16,2024-10-21,1632.88,Exponential smoothing,Говядина,вырезка,Москва
17,2024-10-28,1648.13,Exponential smoothing,Говядина,вырезка,Москва
18,2024-11-04,1655.1,Exponential smoothing,Говядина,вырезка,Москва
19,2024-11-11,1685.65,Exponential smoothing,Говядина,вырезка,Москва
20,2024-11-18,1706.06,Exponential smoothing,Говядина,вырезка,Москва
21,2024-11-25,1715.99,Exponential smoothing,Говядина,вырезка,Москва
22,2024-12-02,1720.02,Exponential smoothing,Говядина,вырезка,Москва
23,2024-12-09,1725.08,Exponential smoothing,Говядина,вырезка,Москва
24,2024-12-16,1731.85,Exponential smoothing,Говядина,вырезка,Москва
25,2024-12-23,1735.41,Exponential smoothing,Говядина,вырезка,Москва
26,2024-12-30,1740.63,Exponential smoothing,Говядина,вырезка,Москва
27,2025-01-06,1739.57,Exponential smoothing,Говядина,вырезка,Москва
28,2025-01-13,1742.6,Exponential smoothing,Говядина,вырезка,Москва
29,2025-01-20,1741.86,Exponential smoothing,Говядина,вырезка,Москва
30,2024-07-01,1265.47,Exponential smoothing,Говядина,вырезка,ПФО
31,2024-07-08,1267.29,Exponential smoothing,Говядина,вырезка,ПФО
32,2024-07-15,1275.27,Exponential smoothing,Говядина,вырезка,ПФО
33,2024-07-22,1287.91,Exponential smoothing,Говядина,вырезка,ПФО
34,2024-07-29,1286.96,Exponential smoothing,Говядина,вырезка,ПФО
35,2024-08-05,1275.54,Exponential smoothing,Говядина,вырезка,ПФО
36,2024-08-12,1266.42,Exponential smoothing,Говядина,вырезка,ПФО
37,2024-08-19,1258.44,Exponential smoothing,Говядина,вырезка,ПФО
38,2024-08-26,1258.51,Exponential smoothing,Говядина,вырезка,ПФО
39,2024-09-02,1264.85,Exponential smoothing,Говядина,вырезка,ПФО
40,2024-09-09,1264.59,Exponential smoothing,Говядина,вырезка,ПФО
41,2024-09-16,1273.34,Exponential smoothing,Говядина,вырезка,ПФО
42,2024-09-23,1268.55,Exponential smoothing,Говядина,вырезка,ПФО
43,2024-09-30,1267.77,Exponential smoothing,Говядина,вырезка,ПФО
44,2024-10-07,1265.33,Exponential smoothing,Говядина,вырезка,ПФО
45,2024-10-14,1261.78,Exponential smoothing,Говядина,вырезка,ПФО
46,2024-10-21,1263.93,Exponential smoothing,Говядина,вырезка,ПФО
47,2024-10-28,1270.37,Exponential smoothing,Говядина,вырезка,ПФО
48,2024-11-04,1279.26,Exponential smoothing,Говядина,вырезка,ПФО
49,2024-11-11,1277.92,Exponential smoothing,Говядина,вырезка,ПФО
50,2024-11-18,1286.54,Exponential smoothing,Говядина,вырезка,ПФО
51,2024-11-25,1290.56,Exponential smoothing,Говядина,вырезка,ПФО
52,2024-12-02,1289.88,Exponential smoothing,Говядина,вырезка,ПФО
53,2024-12-09,1289.14,Exponential smoothing,Говядина,вырезка,ПФО
54,2024-12-16,1288.88,Exponential smoothing,Говядина,вырезка,ПФО
55,2024-12-23,1288.99,Exponential smoothing,Говядина,вырезка,ПФО
56,2024-12-30,1292.28,Exponential smoothing,Говядина,вырезка,ПФО
