,date,price,model,product,product_type,federal_okrug
3600,2024-07-01,1470.53,Exponential smoothing,Говядина,вырезка,ВСЕ
3601,2024-07-08,1473.71,Exponential smoothing,Говядина,вырезка,ВСЕ
3602,2024-07-15,1472.03,Exponential smoothing,Говядина,вырезка,ВСЕ
3603,2024-07-22,1474.13,Exponential smoothing,Говядина,вырезка,ВСЕ
3604,2024-07-29,1469.66,Exponential smoothing,Говядина,вырезка,ВСЕ
3605,2024-08-05,1465.76,Exponential smoothing,Говядина,вырезка,ВСЕ
3606,2024-08-12,1466.68,Exponential smoothing,Говядина,вырезка,ВСЕ
3607,2024-08-19,1473.94,Exponential smoothing,Говядина,вырезка,ВСЕ
3608,2024-08-26,1472.44,Exponential smoothing,Говядина,вырезка,ВСЕ
3609,2024-09-02,1474.86,Exponential smoothing,Говядина,вырезка,ВСЕ
3610,2024-09-09,1480.44,Exponential smoothing,Говядина,вырезка,ВСЕ
3611,2024-09-16,1483.52,Exponential smoothing,Говядина,вырезка,ВСЕ
3612,2024-09-23,1481.94,Exponential smoothing,Говядина,вырезка,ВСЕ
3613,2024-09-30,1487.89,Exponential smoothing,Говядина,вырезка,ВСЕ
3614,2024-10-07,1490.48,Exponential smoothing,Говядина,вырезка,ВСЕ
3615,2024-10-14,1511.71,Exponential smoothing,Говядина,вырезка,ВСЕ
3616,2024-10-21,1525.89,Exponential smoothing,Говядина,вырезка,ВСЕ
3617,2024-10-28,1537.04,Exponential smoothing,Говядина,вырезка,ВСЕ
3618,2024-11-04,1542.41,Exponential smoothing,Говядина,вырезка,ВСЕ
3619,2024-11-11,1552.23,Exponential smoothing,Говядина,вырезка,ВСЕ
3620,2024-11-18,1558.52,Exponential smoothing,Говядина,вырезка,ВСЕ
3621,2024-11-25,1554.97,Exponential smoothing,Говядина,вырезка,ВСЕ
3622,2024-12-02,1559.14,Exponential smoothing,Говядина,вырезка,ВСЕ
3623,2024-12-09,1565.89,Exponential smoothing,Говядина,вырезка,ВСЕ
3624,2024-12-16,1569.07,Exponential smoothing,Говядина,вырезка,ВСЕ
3625,2024-12-23,1568.66,Exponential smoothing,Говядина,вырезка,ВСЕ
3626,2024-12-30,1570.32,Exponential smoothing,Говядина,вырезка,ВСЕ
3627,2025-01-06,1573.52,Exponential smoothing,Говядина,вырезка,ВСЕ
3628,2025-01-13,1570.34,Exponential smoothing,Говядина,вырезка,ВСЕ
3629,2025-01-20,1578.04,Exponential smoothing,Говядина,вырезка,ВСЕ
0,2024-07-01,1601.68,Exponential smoothing,Говядина,вырезка,Москва
1,2024-07-08,1596.7,Exponential smoothing,Говядина,вырезка,Москва
2,2024-07-15,1591.4,Exponential smoothing,Говядина,вырезка,Москва
3,2024-07-22,1580.64,Exponential smoothing,Говядина,вырезка,Москва
4,2024-07-29,1575.89,Exponential smoothing,Говядина,вырезка,Москва
5,2024-08-05,1568.4,Exponential smoothing,Говядина,вырезка,Москва
6,2024-08-12,1574.67,Exponential smoothing,Говядина,вырезка,Москва
7,2024-08-19,1577.51,Exponential smoothing,Говядина,вырезка,Москва
8,2024-08-26,1579.29,Exponential smoothing,Говядина,вырезка,Москва
9,2024-09-02,1578.37,Exponential smoothing,Говядина,вырезка,Москва
10,2024-09-09,1580.83,Exponential smoothing,Говядина,вырезка,Москва
11,2024-09-16,1582.37,Exponential smoothing,Говядина,вырезка,Москва
12,2024-09-23,1581.65,Exponential smoothing,Говядина,вырезка,Москва
13,2024-09-30,1583.65,Exponential smoothing,Говядина,вырезка,Москва
14,2024-10-07,1585.0,Exponential smoothing,Говядина,вырезка,Москва
15,2024-10-14,1606.03,Exponential smoothing,Говядина,вырезка,Москва
16,2024-10-21,1624.95,Exponential smoothing,Говядина,вырезка,Москва
17,2024-10-28,1645.82,Exponential smoothing,Говядина,вырезка,Москва
18,2024-11-04,1657.5,Exponential smoothing,Говядина,вырезка,Москва
19,2024-11-11,1672.66,Exponential smoothing,Говядина,вырезка,Москва
20,2024-11-18,1683.8,Exponential smoothing,Говядина,вырезка,Москва
21,2024-11-25,1693.63,Exponential smoothing,Говядина,вырезка,Москва
22,2024-12-02,1700.66,Exponential smoothing,Говядина,вырезка,Москва
23,2024-12-09,1707.24,Exponential smoothing,Говядина,вырезка,Москва
24,2024-12-16,1713.97,Exponential smoothing,Говядина,вырезка,Москва
25,2024-12-23,1711.72,Exponential smoothing,Говядина,вырезка,Москва
