,ID,ds,y
0,Говядина|вырезка|Москва,2021-08-02,853.5
1,Говядина|вырезка|ПФО,2021-08-02,758.19
2,Говядина|вырезка|СЗФО,2021-08-02,755.0
3,Говядина|вырезка|СФО,2021-08-02,705.0
4,Говядина|вырезка|Санкт-Петербург,2021-08-02,830.18
5,Говядина|вырезка|УФО,2021-08-02,728.33
6,Говядина|вырезка|ЦФО,2021-08-02,774.29
7,Говядина|вырезка|ЮФО,2021-08-02,725.0
8,Говядина|грудинка|Москва,2021-08-02,326.0
9,Говядина|грудинка|ПФО,2021-08-02,325.0
10,Говядина|грудинка|СЗФО,2021-08-02,770.0
11,Говядина|грудинка|СФО,2021-08-02,225.0
12,Говядина|грудинка|Санкт-Петербург,2021-08-02,346.67
13,Говядина|грудинка|УФО,2021-08-02,320.0
14,Говядина|грудинка|ЦФО,2021-08-02,250.0
15,Говядина|грудинка|ЮФО,2021-08-02,400.0
16,Говядина|лопатка|Москва,2021-08-02,392.28
17,Говядина|лопатка|ПФО,2021-08-02,426.71
18,Говядина|лопатка|СЗФО,2021-08-02,415.0
19,Говядина|лопатка|СФО,2021-08-02,388.0
20,Говядина|лопатка|Санкт-Петербург,2021-08-02,381.19
21,Говядина|лопатка|УФО,2021-08-02,413.5
22,Говядина|лопатка|ЦФО,2021-08-02,385.02
23,Говядина|лопатка|ЮФО,2021-08-02,404.0
24,Говядина|полутуши|Москва,2021-08-02,298.57
25,Говядина|полутуши|ПФО,2021-08-02,284.23
26,Говядина|полутуши|СЗФО,2021-08-02,274.9
27,Говядина|полутуши|СФО,2021-08-02,259.75
28,Говядина|полутуши|Санкт-Петербург,2021-08-02,295.33
29,Говядина|полутуши|УФО,2021-08-02,256.08
30,Говядина|полутуши|ЦФО,2021-08-02,309.13
31,Говядина|полутуши|ЮФО,2021-08-02,271.8
32,Кура|бедро|Москва,2021-08-02,147.0
33,Кура|бедро|ПФО,2021-08-02,157.41
34,Кура|бедро|СЗФО,2021-08-02,166.0
35,Кура|бедро|СФО,2021-08-02,163.66
36,Кура|бедро|Санкт-Петербург,2021-08-02,166.58
37,Кура|бедро|УФО,2021-08-02,153.86
38,Кура|бедро|ЦФО,2021-08-02,147.67
39,Кура|бедро|ЮФО,2021-08-02,138.75
40,Кура|голень|Москва,2021-08-02,151.83
41,Кура|голень|ПФО,2021-08-02,181.3
42,Кура|голень|СЗФО,2021-08-02,176.67
43,Кура|голень|СФО,2021-08-02,178.22
44,Кура|голень|Санкт-Петербург,2021-08-02,159.45
45,Кура|голень|УФО,2021-08-02,166.64
46,Кура|голень|ЦФО,2021-08-02,154.84
47,Кура|голень|ЮФО,2021-08-02,168.5
48,Кура|тушка|Москва,2021-08-02,163.49
49,Кура|тушка|ПФО,2021-08-02,157.81
50,Кура|тушка|СЗФО,2021-08-02,127.67
51,Кура|тушка|СФО,2021-08-02,153.67
52,Кура|тушка|Санкт-Петербург,2021-08-02,147.15
53,Кура|тушка|УФО,2021-08-02,119.88
54,Кура|тушка|ЦФО,2021-08-02,125.08
55,Кура|тушка|ЮФО,2021-08-02,141.92
56,Кура|филе бедра|Москва,2021-08-02,227.01
57,Кура|филе бедра|ПФО,2021-08-02,245.0
58,Кура|филе бедра|СЗФО,2021-08-02,290.0
59,Кура|филе бедра|СФО,2021-08-02,276.67
