ds,ВВП,Индекс пром.производства,Цены производителей пром.товаров,Производство пищевых продуктов,Инфляция,Индекс реальной зарплаты
01.01.18,"7,60%","-18,37%","0,20%","-13,10%","2,21%","1,30%"
01.02.18,"7,00%","9,14%","0,90%","1,10%","2,20%","10,00%"
01.03.18,"6,40%","12,35%","-0,90%","12,60%","2,36%","10,20%"
01.04.18,"4,70%","-2,37%","1,20%","-4,60%","2,41%","9,30%"
01.05.18,"7,80%","0,94%","3,90%","-0,40%","2,42%","6,20%"
01.06.18,"10,90%","2,09%","3,40%","-0,80%","2,30%","8,70%"
01.07.18,"3,90%","-1,17%","0,30%","3,90%","2,50%","8,30%"
01.08.18,"7,80%","3,44%","0,20%","7,20%","3,07%","8,80%"
01.09.18,"11,70%","2,90%","1,30%","-1,20%","3,39%","8,00%"
01.10.18,"5,50%","9,67%","3,30%","6,50%","3,55%","2,00%"
01.11.18,"8,00%","-1,19%","0,70%","-4,20%","3,83%","2,70%"
01.12.18,"10,50%","9,10%","-3,30%","-3,70%","4,27%","8,50%"
01.01.19,"7,60%","-22,58%","-2,00%","-13,90%","5,00%","6,70%"
01.02.19,"7,80%","11,02%","0,10%","4,10%","5,24%","6,80%"
01.03.19,"8,00%","13,25%","0,90%","10,30%","5,27%","1,30%"
01.04.19,"4,70%","2,69%","0,50%","-0,40%","5,17%","6,30%"
01.05.19,"4,95%","-5,23%","1,80%","-3,20%","5,13%","6,80%"
01.06.19,"5,20%","4,75%","-0,60%","-0,40%","4,66%","1,90%"
01.07.19,"3,90%","2,73%","-2,70%","9,10%","4,59%","1,10%"
01.08.19,"2,65%","3,10%","-0,60%","1,30%","4,33%","1,20%"
01.09.19,"1,40%","4,84%","-0,30%","3,40%","3,99%","2,30%"
01.10.19,"5,50%","7,92%","-0,20%","5,30%","3,77%","1,80%"
01.11.19,"2,60%","-4,17%","-0,80%","-4,20%","3,54%","4,00%"
01.12.19,"-0,30%","8,10%","-0,40%","-1,60%","3,05%","4,80%"
01.01.20,"1,6%","1,5%","1,2%","2,7%","2,42%","6,5%"
01.02.20,"2,7%","4,8%","-0,6%","4,9%","2,31%","5,7%"
01.03.20,"0,8%","2,4%","-1,3%","6,9%","2,55%","5,9%"
01.04.20,"-10,7%","-4,5%","-7,2%","-22,6%","3,10%","-2,0%"
01.05.20,"-8,9%","-7,9%","-2,8%","-17,5%","3,03%","1,0%"
