nominal,data,curs,cdx
1,18.01.2025,"102,4137",Äמככאנ ÑØÀ
1,17.01.2025,"102,3762",Äמככאנ ÑØÀ
1,16.01.2025,"102,8078",Äמככאנ ÑØÀ
1,15.01.2025,"103,4380",Äמככאנ ÑØÀ
1,14.01.2025,"102,7081",Äמככאנ ÑØÀ
1,11.01.2025,"101,9146",Äמככאנ ÑØÀ
1,10.01.2025,"102,2911",Äמככאנ ÑØÀ
1,29.12.2024,"101,6797",Äמככאנ ÑØÀ
1,28.12.2024,"100,5281",Äמככאנ ÑØÀ
1,27.12.2024,"99,2295",Äמככאנ ÑØÀ
1,26.12.2024,"99,6125",Äמככאנ ÑØÀ
1,25.12.2024,"99,8729",Äמככאנ ÑØÀ
1,24.12.2024,"101,6143",Äמככאנ ÑØÀ
1,21.12.2024,"102,3438",Äמככאנ ÑØÀ
1,20.12.2024,"103,4207",Äמככאנ ÑØÀ
1,19.12.2024,"102,7763",Äמככאנ ÑØÀ
1,18.12.2024,"102,9979",Äמככאנ ÑØÀ
1,17.12.2024,"102,9125",Äמככאנ ÑØÀ
1,14.12.2024,"103,4305",Äמככאנ ÑØÀ
1,13.12.2024,"103,9500",Äמככאנ ÑØÀ
1,12.12.2024,"103,2707",Äמככאנ ÑØÀ
1,11.12.2024,"100,0324",Äמככאנ ÑØÀ
1,10.12.2024,"99,3759",Äמככאנ ÑØÀ
1,07.12.2024,"99,4215",Äמככאנ ÑØÀ
1,06.12.2024,"103,3837",Äמככאנ ÑØÀ
1,05.12.2024,"104,2361",Äמככאנ ÑØÀ
1,04.12.2024,"106,1878",Äמככאנ ÑØÀ
1,03.12.2024,"107,1758",Äמככאנ ÑØÀ
1,30.11.2024,"107,7409",Äמככאנ ÑØÀ
1,29.11.2024,"109,5782",Äמככאנ ÑØÀ
1,28.11.2024,"108,0104",Äמככאנ ÑØÀ
1,27.11.2024,"105,0604",Äמככאנ ÑØÀ
1,26.11.2024,"103,7908",Äמככאנ ÑØÀ
1,23.11.2024,"102,5761",Äמככאנ ÑØÀ
1,22.11.2024,"100,6798",Äמככאנ ÑØÀ
1,21.11.2024,"100,2192",Äמככאנ ÑØÀ
1,20.11.2024,"100,0348",Äמככאנ ÑØÀ
1,19.11.2024,"99,9430",Äמככאנ ÑØÀ
1,16.11.2024,"99,9971",Äמככאנ ÑØÀ
1,15.11.2024,"99,0180",Äמככאנ ÑØÀ
1,14.11.2024,"98,3657",Äמככאנ ÑØÀ
1,13.11.2024,"97,9559",Äמככאנ ÑØÀ
1,12.11.2024,"97,9550",Äמככאנ ÑØÀ
1,09.11.2024,"97,8335",Äמככאנ ÑØÀ
1,08.11.2024,"98,0726",Äמככאנ ÑØÀ
1,07.11.2024,"98,2236",Äמככאנ ÑØÀ
1,06.11.2024,"98,0562",Äמככאנ ÑØÀ
1,03.11.2024,"97,5499",Äמככאנ ÑØÀ
1,02.11.2024,"97,4402",Äמככאנ ÑØÀ
1,01.11.2024,"97,0226",Äמככאנ ÑØÀ
1,31.10.2024,"97,0530",Äמככאנ ÑØÀ
1,30.10.2024,"97,3261",Äמככאנ ÑØÀ
1,29.10.2024,"97,2300",Äמככאנ ÑØÀ
1,26.10.2024,"96,6657",Äמככאנ ÑØÀ
1,25.10.2024,"96,7402",Äמככאנ ÑØÀ
1,24.10.2024,"96,6379",Äמככאנ ÑØÀ
1,23.10.2024,"96,5918",Äמככאנ ÑØÀ
1,22.10.2024,"96,0924",Äמככאנ ÑØÀ
1,19.10.2024,"96,4172",Äמככאנ ÑØÀ
1,18.10.2024,"97,1490",Äמככאנ ÑØÀ
1,17.10.2024,"97,2568",Äמככאנ ÑØÀ
1,16.10.2024,"97,0121",Äמככאנ ÑØÀ
1,15.10.2024,"96,1021",Äמככאנ ÑØÀ
1,12.10.2024,"96,0686",Äמככאנ ÑØÀ
1,11.10.2024,"97,2394",Äמככאנ ÑØÀ
1,10.10.2024,"96,9483",Äמככאנ ÑØÀ
1,09.10.2024,"96,1079",Äמככאנ ÑØÀ
1,08.10.2024,"96,0649",Äמככאנ ÑØÀ
1,05.10.2024,"94,8700",Äמככאנ ÑØÀ
1,04.10.2024,"95,0262",Äמככאנ ÑØÀ
1,03.10.2024,"94,5054",Äמככאנ ÑØÀ
1,02.10.2024,"93,3581",Äמככאנ ÑØÀ
1,01.10.2024,"93,2221",Äמככאנ ÑØÀ
1,28.09.2024,"92,7126",Äמככאנ ÑØÀ
1,27.09.2024,"92,4074",Äמככאנ ÑØÀ
1,26.09.2024,"92,3880",Äמככאנ ÑØÀ
1,25.09.2024,"92,8622",Äמככאנ ÑØÀ
1,24.09.2024,"92,9200",Äמככאנ ÑØÀ
1,21.09.2024,"92,5848",Äמככאנ ÑØÀ
1,20.09.2024,"92,6962",Äמככאנ ÑØÀ
1,19.09.2024,"91,6712",Äמככאנ ÑØÀ
1,18.09.2024,"91,4292",Äמככאנ ÑØÀ
1,17.09.2024,"91,1423",Äמככאנ ÑØÀ
1,14.09.2024,"90,9345",Äמככאנ ÑØÀ
1,13.09.2024,"91,1096",Äמככאנ ÑØÀ
1,12.09.2024,"91,2653",Äמככאנ ÑØÀ
1,11.09.2024,"91,1127",Äמככאנ ÑØÀ
1,10.09.2024,"90,3853",Äמככאנ ÑØÀ
1,07.09.2024,"89,8225",Äמככאנ ÑØÀ
1,06.09.2024,"89,7044",Äמככאנ ÑØÀ
1,05.09.2024,"88,9288",Äמככאנ ÑØÀ
1,04.09.2024,"88,6118",Äמככאנ ÑØÀ
1,03.09.2024,"90,0013",Äמככאנ ÑØÀ
1,31.08.2024,"91,1868",Äמככאנ ÑØÀ
1,30.08.2024,"91,4548",Äמככאנ ÑØÀ
1,29.08.2024,"91,4449",Äמככאנ ÑØÀ
1,28.08.2024,"91,4807",Äמככאנ ÑØÀ
1,27.08.2024,"91,7745",Äמככאנ ÑØÀ
1,24.08.2024,"91,6012",Äמככאנ ÑØÀ
1,23.08.2024,"91,2881",Äמככאנ ÑØÀ
1,22.08.2024,"91,6862",Äמככאנ ÑØÀ
1,21.08.2024,"90,6944",Äמככאנ ÑØÀ
1,20.08.2024,"89,5428",Äמככאנ ÑØÀ
1,17.08.2024,"88,9062",Äמככאנ ÑØÀ
1,16.08.2024,"88,7960",Äמככאנ ÑØÀ
1,15.08.2024,"90,0055",Äמככאנ ÑØÀ
1,14.08.2024,"92,6592",Äמככאנ ÑØÀ
1,13.08.2024,"89,9475",Äמככאנ ÑØÀ
1,10.08.2024,"87,9920",Äמככאנ ÑØÀ
1,09.08.2024,"86,5621",Äמככאנ ÑØÀ
1,08.08.2024,"85,9543",Äמככאנ ÑØÀ
1,07.08.2024,"85,1646",Äמככאנ ÑØÀ
1,06.08.2024,"84,9471",Äמככאנ ÑØÀ
1,03.08.2024,"85,7024",Äמככאנ ÑØÀ
1,02.08.2024,"85,7833",Äמככאנ ÑØÀ
1,01.08.2024,"86,1091",Äמככאנ ÑØÀ
1,31.07.2024,"86,3300",Äמככאנ ÑØÀ
1,30.07.2024,"86,5554",Äמככאנ ÑØÀ
1,27.07.2024,"85,5650",Äמככאנ ÑØÀ
1,26.07.2024,"85,4100",Äמככאנ ÑØÀ
1,25.07.2024,"86,5502",Äמככאנ ÑØÀ
1,24.07.2024,"87,2990",Äמככאנ ÑØÀ
1,23.07.2024,"87,7805",Äמככאנ ÑØÀ
1,20.07.2024,"88,0206",Äמככאנ ÑØÀ
1,19.07.2024,"87,8754",Äמככאנ ÑØÀ
1,18.07.2024,"88,0872",Äמככאנ ÑØÀ
1,17.07.2024,"88,2824",Äמככאנ ÑØÀ
1,16.07.2024,"87,8077",Äמככאנ ÑØÀ
